date,NO2_mean,SO2_mean,O3_mean
2019-01-01,2.8301562e-05,5.6904178e-06,0.11040861
2019-02-01,1.7697983e-05,3.5889304e-06,0.11168968
2019-03-01,4.587327e-06,9.468818e-06,0.08161819
2019-04-01,6.8761883e-06,8.341897e-06,0.09467947
2019-05-01,1.8774903e-05,-3.0497998e-07,0.10781706
2019-06-01,2.1003792e-05,-4.0116156e-06,0.111120276
2019-07-01,2.1832418e-05,1.4230226e-06,0.1036274
2019-08-01,2.3655104e-05,-1.1770035e-06,0.1165783
2019-09-01,5.5873725e-06,-2.094377e-06,0.076925196
2019-10-01,6.8843783e-06,-4.1430726e-06,0.11284309
2019-11-01,2.3951665e-05,1.8873072e-05,0.107680134
2019-12-01,2.4614079e-05,6.841938e-06,0.10733291
2020-01-01,2.217575e-05,8.5705315e-06,0.106709756
2020-02-01,1.7755612e-05,4.9843334e-06,0.10707997
2020-03-01,3.988908e-06,6.6466505e-06,0.07856036
2020-04-01,6.5378053e-06,5.470969e-06,0.109934114
2020-05-01,1.8086743e-05,6.488401e-07,0.10680962
2020-06-01,1.9941212e-05,5.0642125e-06,0.10969079
2020-07-01,1.7982129e-05,5.7270563e-06,0.11470525
2020-08-01,1.4314838e-05,4.5939914e-06,0.1032123
2020-09-01,4.8208954e-06,1.6556563e-06,0.077349946
2020-10-01,7.002243e-06,4.675433e-06,0.1159881
2020-11-01,2.0565707e-05,1.0834907e-05,0.10787802
2020-12-01,2.3613607e-05,4.3977666e-06,0.11037287
2021-01-01,2.0901416e-05,-6.451391e-07,0.10056256
2021-02-01,1.7048369e-05,2.1659775e-06,0.10972539
2021-03-01,3.1645716e-06,2.7944614e-07,0.07707735
2021-04-01,6.3036846e-06,6.7832566e-06,0.10843138
2021-05-01,1.044554e-05,-1.6475003e-06,0.10093611
2021-06-01,1.9315523e-05,-5.2641954e-06,0.1103471
2021-07-01,2.5948357e-05,9.96648e-07,0.11676195
2021-08-01,2.2283572e-05,-1.1648946e-06,0.119006634
2021-09-01,5.284784e-06,-6.8131635e-07,0.086532384
2021-10-01,7.891002e-06,2.0636787e-06,0.117089175
2021-11-01,2.5573401e-05,4.3162404e-06,0.1110648
2021-12-01,2.8363007e-05,4.255355e-06,0.104065396
2022-01-01,2.3623366e-05,6.8659147e-06,0.10053408
2022-02-01,1.773499e-05,-4.1615317e-07,0.10491788
2022-03-01,3.751922e-06,1.6857601e-06,0.073297955
2022-04-01,7.9856e-06,-2.710329e-06,0.11107631
2022-05-01,2.2615146e-05,8.615502e-07,0.10373213
2022-06-01,2.0135463e-05,-1.4721762e-06,0.11372953
2022-07-01,2.634179e-05,8.490129e-06,0.12099342
2022-08-01,2.0868722e-05,4.30474e-06,0.11828341
2022-09-01,4.9741357e-06,3.4960476e-06,0.09334999
2022-10-01,7.885446e-06,6.8487825e-06,0.12391739
2022-11-01,2.5939438e-05,1.5863206e-05,0.11711518
2022-12-01,2.780555e-05,5.022749e-06,0.11750791
2023-01-01,2.5486466e-05,2.3624614e-06,0.11524049
2023-02-01,1.9604235e-05,5.2746495e-06,0.114016
2023-03-01,2.9523594e-06,6.659469e-06,0.07507401
2023-04-01,8.411702e-06,5.9142653e-06,0.11807447
2023-05-01,2.452717e-05,1.0230937e-06,0.11220866
2023-06-01,2.2124703e-05,4.5346587e-06,0.11660086
2023-07-01,2.4481835e-05,9.6557405e-06,0.1097075
2023-08-01,2.9085557e-05,1.0100127e-05,0.12171507
2023-09-01,6.4555097e-06,3.9955453e-06,0.086251505
2023-10-01,8.948859e-06,1.638104e-05,0.119621694
2023-11-01,2.6540587e-05,5.2755568e-06,0.110642105
2023-12-01,2.4685265e-05,1.2237725e-05,0.09719228
