"Estacion","Fecha inicial","Fecha final","O3","SO2","TMPR AIR 10CM","PM2.5","TAire2","P","VViento","DViento","PLiquida","RGlobal","PM10","HAire10","HAire2","H2S"
"BASE AÉREA","2023","","9.56","13.4","","","","","","","","","","","",""
"BASE AÉREA","2022","","17.16","7.07","24.57","19.41","","","","","","","","","",""
"BASE AÉREA","2021","","13.91","14.52","25.63","21.86","25.61","","","","","","","","",""
"BASE AÉREA","2020","","7.43","2.49","","16.9","26.91","","","","","","","","",""
"CAÑAVERALEJO","2023","","","","25.45","","","677.48","1.47","210.92","0.11","88.03","","53.89","",""
"CAÑAVERALEJO","2022","","","2.98","23.63","12.42","","677.59","1.4","202.76","0.17","170.92","31.09","78.54","",""
"CAÑAVERALEJO","2021","","","3.79","23.93","9.91","23.96","677.31","1.32","202.36","0.17","325.84","34.06","77.1","77.42",""
"CAÑAVERALEJO","2020","","","0.65","","9.74","24.48","903.13","1.41","205.23","0.1","329.7","32.22","","73.56",""
"CASCAJAL","2026","","","","24.59","10.47","","674.74","0.61","156.41","","","37.16","71.83","",""
"CASCAJAL","2025","","","","24.18","12.99","","676.76","0.61","156.85","","","37.97","67.36","",""
"CASCAJAL","2024","","","","26.29","14.71","","676.53","0.59","146.48","","","33.57","63.39","",""
"CASCAJAL","2023","","","","26.85","14.55","","674.83","0.54","136.71","","","35.01","64.1","",""
"CASCAJAL","2022","","","","26.52","12.58","","674.71","0.55","137.77","","","34.4","66.91","",""
"CASCAJAL","2020","","","","","","","","","","","","46.17","","",""
"COMPARTIR","2024","","","","30.42","","","679.85","1.73","148.05","0.06","181.64","","68.78","",""
"COMPARTIR","2023","","31.51","","28.87","15.71","","679.94","1.6","158.38","0.19","161.02","64.57","71.25","",""
"COMPARTIR","2022","","15.67","","27.95","15.95","","680.57","1.75","165.48","0.17","147.41","55.96","75.15","",""
"COMPARTIR","2021","","21.02","","28.22","16.58","28.54","680.46","2.14","214.34","0.17","167.1","48.1","75.51","56.09",""
"COMPARTIR","2020","","17.81","","","16.88","28.67","907.25","2.36","219.31","0.1","187.18","52.19","","56.09",""
"LA ERMITA","2023","","","","26.12","15.11","","676.11","","","","","43.6","76.92","",""
"LA ERMITA","2022","","","3.27","25.65","15.06","","676.08","","","","","45.31","77.47","",""
"LA ERMITA","2021","","","3.53","24.75","12.97","24.52","676.45","","","","","37.17","69.72","73.46",""
"LA ERMITA","2020","","","4.89","","11.71","25.15","902.75","","","0.01","","36.42","","68.04",""
"LA FLORA","2024","","","","27.49","","","675.57","","","0.04","254.15","","61.87","",""
"LA FLORA","2023","","","","25.0","18.7","","676.25","","","0.09","232.17","33.74","67.95","",""
"LA FLORA","2022","","29.25","","24.36","19.13","","678.24","0.62","163.75","0.13","224.59","36.52","70.08","",""
"LA FLORA","2021","","","","24.25","14.22","24.1","677.14","0.66","150.23","0.13","237.14","36.07","69.88","70.99",""
"LA FLORA","2020","","20.97","7.92","","12.4","27.42","901.59","0.71","165.03","0.09","236.78","39.46","","67.05","3.46"
"P_2. ERA OBRERO","2023","","","","","13.05","","676.09","1.35","201.71","0.41","220.2","47.62","65.58","",""
"P_2. ERA OBRERO","2022","","25.39","","25.76","13.14","","677.75","1.25","201.04","0.44","218.93","48.63","68.15","",""
"P_2. ERA OBRERO","2021","","19.46","","26.02","10.08","26.56","","1.22","198.16","337.78","217.28","47.69","66.94","67.88",""
"P_2. ERA OBRERO","2020","","11.64","","","6.72","26.53","899.25","1.32","176.7","0.29","222.33","49.58","","64.32",""
"PANCE","2024","","","","25.3","","","677.29","1.57","175.96","0.05","341.6","","","",""
"PANCE","2023","","56.38","","24.2","8.82","","657.12","1.4","177.47","0.22","295.14","18.78","","",""
"PANCE","2022","","34.12","","23.23","11.12","","677.7","1.7","178.09","0.32","158.5","28.95","82.48","",""
"PANCE","2021","","34.69","","24.69","10.65","24.55","676.86","2.18","175.75","0.3","175.06","29.92","234.46","74.4",""
"PANCE","2020","","17.79","","","10.41","25.26","901.26","2.51","177.52","0.14","181.8","31.7","","60.87",""
"TRANSITORIA-NAVARRO","2024","","","","28.07","","","680.6","","","","","","67.9","",""
"TRANSITORIA-NAVARRO","2023","","","","26.91","2.77","","661.73","","","","","14.78","70.52","",""
"TRANSITORIA-NAVARRO","2022","","","","25.64","17.36","","680.24","","","","","","73.93","",""
"TRANSITORIA-NAVARRO","2021","","","","","","26.0","904.02","","","","","","","72.54",""
"TRANSITORIA-NAVARRO","2020","","28.38","7.79","","14.72","26.46","904.19","","","","","","","70.59","1.37"
"UNIVERSIDAD DEL VALLE","2024","","","","25.62","","","677.36","0.67","122.91","0.06","628.49","","74.71","",""
"UNIVERSIDAD DEL VALLE","2023","","39.72","","24.23","10.73","","677.3","0.61","112.88","0.13","619.87","23.37","78.02","",""
"UNIVERSIDAD DEL VALLE","2022","","11.62","","23.09","14.47","","677.96","0.59","113.38","0.11","422.04","28.22","82.44","",""
"UNIVERSIDAD DEL VALLE","2021","","19.76","","23.37","13.69","23.26","677.7","0.63","118.78","0.15","341.34","13.83","80.63","80.64",""
"UNIVERSIDAD DEL VALLE","2020","","18.61","","","12.74","23.82","903.53","0.79","124.97","0.11","321.92","21.12","","79.14",""
